WORD;WEIGHT;FIELD;CONNOTATION
dramatick;1;information / communication;context
edict;1;information / communication;context
education;1;information / communication;context
eingeschoben;1;information / communication;context
encouraging;1;information / communication;context
engaged;1;information / communication;context
engaging;1;information / communication;context
enquiry;1;information / communication;context
entertainment;1;information / communication;context
enthalten;1;information / communication;context
intitled / entitl[e]d;1;information / communication;context
epistles;1;information / communication;context
erleuterung;1;information / communication;context
examinations;1;information / communication;context
examples;1;information / communication;context
explanatory;1;information / communication;context
factious;1;information / communication;context
faithfully;1;information / communication;context
festivals;1;information / communication;context
fomented;1;information / communication;context
forbidden;1;information / communication;context
foretelling;1;information / communication;context
forgotten;1;information / communication;context
fürstellend;1;information / communication;context
gedruckt;1;information / communication;context
gegenfragen;1;information / communication;context
genanten;1;information / communication;context
gesendet;1;information / communication;context
gewissen;1;information / communication;context
grammar;1;information / communication;context
gratulationen;1;information / communication;context
handbills;1;information / communication;context
herausgegeben;1;information / communication;context
inflict;1;information / communication;context
informations;1;information / communication;context
inquest;1;information / communication;context
inquiry;1;information / communication;context
insignium;1;information / communication;context
inspection;1;information / communication;context
insult;1;information / communication;context
intimation;1;information / communication;context
introductory;1;information / communication;context
involvement;1;information / communication;context
journals;1;information / communication;context
keep;1;information / communication;context
kept;1;information / communication;context
l'advis;1;information / communication;context
levied;1;information / communication;context
levy;1;information / communication;context
looks;1;information / communication;context
lullaby;1;information / communication;context
maßregeln;1;information / communication;context
matière;1;information / communication;context
mentioned;1;information / communication;context
merckwürdigkeiten;1;information / communication;context
mistaken;1;information / communication;context
monita;1;information / communication;context
monument;1;information / communication;context
mourning;1;information / communication;context
mutter;1;information / communication;context
nachdencklich;1;information / communication;context
nachrichten;1;information / communication;context
notion;1;information / communication;context
notis;1;information / communication;context
obscuring;1;information / communication;context
offenbahret;1;information / communication;context
oracle;1;information / communication;context
ordre;1;information / communication;context
outlining;1;information / communication;context
pamphelet;1;information / communication;context
panegirick;1;information / communication;context
parable;1;information / communication;context
parlanti;1;information / communication;context
parlements;1;information / communication;context
parliamentary;1;information / communication;context
parliaments;1;information / communication;context
performed;1;information / communication;context
performing;1;information / communication;context
permission;1;information / communication;context
permit;1;information / communication;context
pictures;1;information / communication;context
pilgrimage;1;information / communication;context
plotting;1;information / communication;context
poème;1;information / communication;context
poems;1;information / communication;context
poetry;1;information / communication;context
points;1;information / communication;context
poll;1;information / communication;context
verbatim;1;information / communication;context
vermeynten;1;information / communication;context
register;1;information / communication;context
remarks;1;information / communication;context
voir;1;information / communication;context
vols;1;information / communication;context
